"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"1","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31785423",37.349804,-80.538229,2019-07-19,"NA","NA","NA","NA","Y","Online Herbarium",7,19,2019,200
"2","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31785334",37.349804,-80.538229,2019-07-19,"NA","NA","NA","NA","Y","Online Herbarium",7,19,2019,200
"3","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31785410",37.349804,-80.538229,2019-07-19,"NA","NA","NA","NA","Y","Online Herbarium",7,19,2019,200
"4","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31785130",37.349804,-80.538229,2019-07-19,"NA","NA","Y","Y","NA","Online Herbarium",7,19,2019,200
"5","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21905173",37.368459,-80.521726,1958-07-21,"NA","NA","NA","NA","Y","Online Herbarium",7,21,1958,202
"6","https://sernecportal.org/portal/collections/individual/index.php?occid=6167049",37.368459,-80.521726,2013-05-23,"NA","NA","Y","NA","NA","Online Herbarium",5,23,2013,143
"7","https://sernecportal.org/portal/collections/individual/index.php?occid=6167040",37.373703,-80.520868,2013-05-23,"Y","Y","NA","NA","NA","Online Herbarium",5,23,2013,143
"8","https://sernecportal.org/portal/collections/individual/index.php?occid=8036330",37.377531,-80.521125,2013-05-23,"NA","NA","NA","NA","Y","Online Herbarium",5,23,2013,143
"9","https://sernecportal.org/portal/collections/individual/index.php?occid=8036328",37.377531,-80.521125,2013-05-23,"NA","NA","Y","NA","NA","Online Herbarium",5,23,2013,143
"10","https://sernecportal.org/portal/collections/individual/index.php?occid=6167048",37.377531,-80.521125,2013-05-23,"NA","NA","NA","NA","Y","Online Herbarium",5,23,2013,143
"11","https://sernecportal.org/portal/collections/individual/index.php?occid=6167051",37.377531,-80.521125,2013-05-23,"NA","NA","NA","NA","Y","Online Herbarium",5,23,2013,143
"12","https://sernecportal.org/portal/collections/individual/index.php?occid=7774246",37.381697,-80.567223,1986-05-30,"NA","NA","Y","NA","NA","Online Herbarium",5,30,1986,150
