"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"1","https://sernecportal.org/portal/collections/individual/index.php?occid=6167040",37.373703,-80.520868,2013-05-23,"Y","Y",NA,NA,NA,"Online Herbarium",5,23,2013,143
"2","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17158241",38.627972,-76.880527,1977-04-09,"Y",NA,NA,NA,NA,"Online Herbarium",4,9,1977,99
"3","https://sernecportal.org/portal/collections/individual/index.php?occid=6168000",38.964299,-79.348819,2013-06-06,"Y","Y","Y",NA,NA,"Online Herbarium",6,6,2013,157
"4","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499725",38.9745444,-76.9344389,1980-04-17,"Y","Y",NA,NA,NA,"Online Herbarium",4,17,1980,108
"5","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499776",38.985983,-76.94285,1967-04-22,"Y","Y",NA,NA,NA,"Online Herbarium",4,22,1967,112
"6","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15668572",39.176833,-77.100556,1989-04-18,"Y","Y",NA,NA,NA,"Online Herbarium",4,18,1989,108
"7","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976255",39.450217,-74.76457,1924-05-10,"Y","Y",NA,NA,NA,"Online Herbarium",5,10,1924,131
"8","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329624",39.531164,-75.046239,1936-04-19,"Y","Y",NA,NA,NA,"Online Herbarium",4,19,1936,110
"9","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=20430606",39.581897,-78.897264,2002-04-30,"Y","Y",NA,NA,NA,"Online Herbarium",4,30,2002,120
"10","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527099",39.603174,-74.340145,1950-05-19,"Y","Y",NA,NA,NA,"Online Herbarium",5,19,1950,139
"11","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19920774",39.636472,-79.017722,2006-05-30,"Y","Y",NA,NA,NA,"Online Herbarium",5,30,2006,150
"12","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24862376",39.652865,-78.762518,1952-05-04,"Y","Y",NA,NA,NA,"Online Herbarium",5,4,1952,125
"13","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976239",39.699937,-78.944615,1957-05-17,"Y","Y",NA,NA,NA,"Online Herbarium",5,17,1957,137
"14","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527064",39.7831,-74.8039,2003-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,2003,133
"15","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009752",39.78456,-79.17758,1994-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1994,141
"16","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009755",39.78456,-79.17758,1994-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1994,141
"17","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011127",39.787583,-79.171665,1990-05-20,"Y","Y",NA,NA,NA,"Online Herbarium",5,20,1990,140
"18","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329692",39.811503,-74.982944,1907-04-27,"Y","Y",NA,NA,NA,"Online Herbarium",4,27,1907,117
"19","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010734",39.833333,-78.683333,1996-05-05,"Y","Y",NA,NA,NA,"Online Herbarium",5,5,1996,126
"20","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968842",39.848166,-78.957802,1946-04-22,"Y","Y",NA,NA,NA,"Online Herbarium",4,22,1946,112
"21","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858986",39.855465,-76.628858,1954-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1954,122
"22","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326080",39.92028,-75.68917,1909-05-06,"Y","Y",NA,NA,NA,"Online Herbarium",5,6,1909,126
"23","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757302",39.92028,-75.68917,1909-05-06,"Y","Y",NA,NA,NA,"Online Herbarium",5,6,1909,126
"24","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968831",39.933858,-78.781806,1964-05-09,"Y","Y",NA,NA,NA,"Online Herbarium",5,9,1964,130
"25","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329586",39.953285,-74.975187,1919-04-12,"Y","Y",NA,NA,NA,"Online Herbarium",4,12,1919,102
"26","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757281",39.974374,-77.365415,1935-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,1935,138
"27","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968834",39.982943,-79.041468,1952-05-24,"Y","Y",NA,NA,NA,"Online Herbarium",5,24,1952,145
"28","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326074",39.993964,-75.380532,1912-04-21,"Y","Y",NA,NA,NA,"Online Herbarium",4,21,1912,112
"29","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326071",39.994444,-75.38,1910-04-23,"Y","Y",NA,NA,NA,"Online Herbarium",4,23,1910,113
"30","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968940",39.995319,-75.375599,1936-05-03,"Y","Y",NA,NA,NA,"Online Herbarium",5,3,1936,124
"31","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326104",40.009463,-76.708854,1942-04-26,"Y","Y",NA,NA,NA,"Online Herbarium",4,26,1942,116
"32","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968846",40.020262,-78.184983,1966-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1966,128
"33","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976254",40.036224,-74.617934,1923-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1923,132
"34","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757283",40.082911,-78.922672,1938-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1938,128
"35","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=28203217",40.123611,-79.270833,1995-05-12,"Y","Y",NA,NA,NA,"Online Herbarium",5,12,1995,132
"36","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968933",40.141279,-79.200619,1924-06-15,"Y","Y",NA,NA,NA,"Online Herbarium",6,15,1924,167
"37","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757269",40.14481,-75.6187,1938-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1938,128
"38","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329545",40.158139,-74.337444,1938-05-22,"Y","Y",NA,NA,NA,"Online Herbarium",5,22,1938,142
"39","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329690",40.158893,-79.231801,1925-04-26,"Y","Y",NA,NA,NA,"Online Herbarium",4,26,1925,116
"40","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326020",40.158893,-79.231801,1925-04-26,"Y","Y",NA,NA,NA,"Online Herbarium",4,26,1925,116
"41","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329552",40.178297,-74.434612,1935-05-05,"Y","Y",NA,NA,NA,"Online Herbarium",5,5,1935,125
"42","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757301",40.189264,-75.722975,1927-05-07,"Y","Y",NA,NA,NA,"Online Herbarium",5,7,1927,127
"43","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329610",40.1952,-74.3466,2004-05-04,"Y","Y",NA,NA,NA,"Online Herbarium",5,4,2004,125
"44","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326054",40.240901,-75.828664,1935-05-04,"Y",NA,NA,NA,NA,"Online Herbarium",5,4,1935,124
"45","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757300",40.245254,-75.823465,1935-05-04,"Y","Y",NA,NA,NA,"Online Herbarium",5,4,1935,124
"46","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326092",40.291854,-76.205276,1935-05-04,"Y",NA,NA,NA,NA,"Online Herbarium",5,4,1935,124
"47","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326058",40.320857,-75.911916,1934-05-04,"Y","Y",NA,NA,NA,"Online Herbarium",5,4,1934,124
"48","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527089",40.352608,-74.440151,1931-04-25,"Y","Y",NA,NA,NA,"Online Herbarium",4,25,1931,115
"49","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968864",40.357549,-78.505814,1957-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1957,122
"50","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329561",40.368041,-74.22439,1958-05-09,"Y","Y",NA,NA,NA,"Online Herbarium",5,9,1958,129
"51","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527085",40.391774,-74.398483,1935-05-16,"Y","Y",NA,NA,NA,"Online Herbarium",5,16,1935,136
"52","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326051",40.408705,-75.799641,1936-05-02,"Y","Y",NA,NA,NA,"Online Herbarium",5,2,1936,123
"53","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968924",40.447809,-78.560442,1916-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1916,134
"54","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858910",40.450836,-78.561378,1916-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1916,134
"55","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326024",40.450836,-78.561378,1916-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1916,134
"56","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527079",40.459079,-74.960263,1970-05-18,"Y","Y",NA,NA,NA,"Online Herbarium",5,18,1970,138
"57","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417289",40.477101,-74.291389,1906-04-29,"Y","Y",NA,NA,NA,"Online Herbarium",4,29,1906,119
"58","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968869",40.559512,-79.958493,1920-05-08,"Y","Y",NA,NA,NA,"Online Herbarium",5,8,1920,129
"59","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968867",40.564531,-80.113379,1945-04-28,"Y","Y",NA,NA,NA,"Online Herbarium",4,28,1945,118
"60","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417278",40.594234,-79.970055,1928-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1928,134
"61","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968872",40.59668,-79.97008,1928-05-13,"Y","Y",NA,NA,NA,"Online Herbarium",5,13,1928,134
"62","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19931107",40.610582,-74.165217,1925-05-16,"Y","Y",NA,NA,NA,"Online Herbarium",5,16,1925,136
