"","reference","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","decimalLongitude","decimalLatitude","date"
"1","https://neherbaria.org/portal/collections/individual/index.php?occid=702341","1901-06-11","Y","Y","Y",NA,NA,"Online Herbarium",6,11,1901,162,-0.800000011920929,7.09999990463257,12.4000005722046,19.5,22.3999996185303,20.3999996185303,15.8000001907349,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-71.67361,42.81783,1900-06-11
"2","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968975","1901-08-11",NA,NA,"Y","Y",NA,"Online Herbarium",8,11,1901,223,2.90000009536743,7.09999990463257,14.5,20.3999996185303,24.5,22,17.3999996185303,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-80.230408,40.521629,1900-08-11
"3","62914","1901-07-02",NA,NA,"Y",NA,NA,"ECSmith",7,2,1901,183,-2.29999995231628,3.90000009536743,7.59999990463257,12.3000001907349,16.1000003814697,18,15.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",2253259.42745,34832590316.9,-61.00746,45.33549,1900-07-02
"4","62915","1901-08-08",NA,NA,"Y","Y",NA,"ECSmith",8,8,1901,220,-2.29999995231628,3.90000009536743,7.59999990463257,12.3000001907349,16.1000003814697,18,15.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",2253259.42745,34832590316.9,-61.00746,45.33549,1900-08-08
"5","ECS005731","1901-07-20",NA,NA,"Y",NA,NA,"ECSmith",7,20,1901,201,-2.29999995231628,3.90000009536743,7.59999990463257,12.3000001907349,16.1000003814697,18,15.1000003814697,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",2253259.42745,34832590316.9,-61.00746,45.33549,1900-07-20
"6","https://neherbaria.org/portal/collections/individual/index.php?occid=702323","1902-05-17","Y","Y",NA,NA,NA,"Online Herbarium",5,17,1902,137,3.79999995231628,7.30000019073486,11.4000005722046,15.5,19,17.8000011444092,15.1000003814697,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-71.0759,43.36294,1900-05-17
"7","https://neherbaria.org/portal/collections/individual/index.php?occid=702239","1902-05-17","Y","Y",NA,NA,NA,"Online Herbarium",5,17,1902,137,3.70000004768372,7,10.9000005722046,15.3000001907349,18.8999996185303,18,15.4000005722046,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-70.35383,43.6954,1900-05-17
"8","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19931000","1902-05-12",NA,"Y",NA,NA,NA,"Online Herbarium",5,12,1902,132,6,9.69999980926514,15.1999998092651,19.3000011444092,22.3999996185303,21,18.1000003814697,"8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","8.3  SOUTHEASTERN USA PLAINS","8  EASTERN TEMPERATE FORESTS",81494.2013343,150198160.631,-74.1782,40.612604,1900-05-12
"9","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968912","1902-06-27",NA,NA,"Y",NA,NA,"Online Herbarium",6,27,1902,178,3.10000014305115,7.5,12.6000003814697,16,19.8000011444092,17.8000011444092,15.6999998092651,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",1357092.4693,21835391920.3,-76.323513,41.353303,1900-06-27
"10","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968942","1902-06-20",NA,NA,NA,"Y",NA,"Online Herbarium",6,20,1902,171,3.10000014305115,7.5,12.6000003814697,16,19.8000011444092,17.8000011444092,15.6999998092651,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",1357092.4693,21835391920.3,-76.318614,41.356412,1900-06-20
"11","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326111","1903-05-14","Y","Y",NA,NA,NA,"Online Herbarium",5,14,1903,134,5.59999990463257,7,14.5,15.6000003814697,19.5,16.8999996185303,15.9000005722046,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",1357092.4693,21835391920.3,-76.318614,41.356412,1900-05-14
